iter	Logloss
0	0.6683244254
1	0.645908239
2	0.6256976114
3	0.6070197183
4	0.591662914
5	0.5791471454
6	0.5686637652
7	0.5585664132
8	0.5498513563
9	0.5435221965
10	0.5359083287
11	0.5268726132
12	0.5193584037
13	0.5135386721
14	0.5085055781
15	0.5032687
16	0.4983979469
17	0.4941337592
18	0.4891553102
19	0.4848460515
20	0.481442584
21	0.4786030045
22	0.4759067727
23	0.4726590373
24	0.468932512
25	0.466959792
26	0.4643756375
27	0.4618478313
28	0.4597577137
29	0.4575644384
30	0.455238113
31	0.4532306899
32	0.4516164991
33	0.4504087677
34	0.4483341756
35	0.4470984783
36	0.4458149676
37	0.444008343
38	0.4425651355
39	0.4407640471
40	0.4393348424
41	0.4377753517
42	0.4368771277
43	0.4352100951
44	0.4341872617
45	0.4334455434
46	0.4328169032
47	0.4310744865
48	0.4302619936
49	0.4293374373
50	0.4286144088
51	0.4275309877
52	0.4264399211
53	0.4251225948
54	0.4243898966
55	0.4229986587
56	0.4226031926
57	0.4223638212
58	0.4214973806
59	0.4208545392
60	0.4205035992
61	0.4198701246
62	0.4190729615
63	0.41796972
64	0.4168706229
65	0.4161642331
66	0.4153822673
67	0.4139200948
68	0.413754139
69	0.412771965
70	0.4114849719
71	0.4102826935
72	0.4097064493
73	0.4094850815
74	0.4091405605
75	0.408225042
76	0.4072216844
77	0.4069227028
78	0.4061537898
79	0.4059562549
80	0.4049389907
81	0.4046566152
82	0.4045201385
83	0.4037115378
84	0.4029181193
85	0.402242027
86	0.4020288568
87	0.4013000538
88	0.4009403125
89	0.4002272303
90	0.3998196003
91	0.3992703238
92	0.398377029
93	0.397781635
94	0.3976006358
95	0.3972218219
96	0.3970686055
97	0.3961750694
98	0.3950540879
99	0.3941878211
