iter	Passed	Remaining
0	1	177
1	2	140
2	3	125
3	4	111
4	5	102
5	6	96
6	6	91
7	7	87
8	8	86
9	9	85
10	10	84
11	12	91
12	13	89
13	14	87
14	14	84
15	15	82
16	16	80
17	17	78
18	17	75
19	18	73
20	18	71
21	19	69
22	20	67
23	20	65
24	21	63
25	21	61
26	22	60
27	22	58
28	23	57
29	23	55
30	24	54
31	24	52
32	26	52
33	26	51
34	27	50
35	27	49
36	28	48
37	28	47
38	29	46
39	30	45
40	30	43
41	31	42
42	31	41
43	32	40
44	32	39
45	33	38
46	33	37
47	34	37
48	34	36
49	35	35
50	35	34
51	36	33
52	36	32
53	37	31
54	37	31
55	38	30
56	38	29
57	39	28
58	40	27
59	40	27
60	41	26
61	41	25
62	42	24
63	42	24
64	43	23
65	43	22
66	44	21
67	44	21
68	45	20
69	45	19
70	46	18
71	46	18
72	47	17
73	47	16
74	48	16
75	48	15
76	49	14
77	49	14
78	50	13
79	50	12
80	51	12
81	52	11
82	52	10
83	53	10
84	53	9
85	54	8
86	54	8
87	55	7
88	55	6
89	56	6
90	56	5
91	57	4
92	57	4
93	58	3
94	59	3
95	59	2
96	60	1
97	60	1
98	61	0
99	61	0
