iter	Passed	Remaining
0	271	270874
1	496	247609
2	723	240323
3	955	237898
4	1209	240693
5	1515	251015
6	1761	249863
7	2013	249698
8	2250	247752
9	2488	246340
10	2722	244819
11	2967	244357
12	3186	241903
13	3417	240712
14	3646	239473
15	3862	237525
16	4122	238372
17	4357	237714
18	4604	237751
19	4911	240653
20	5173	241203
21	5556	247028
22	5861	248999
23	6122	248980
24	6515	254086
25	6882	257817
26	7148	257600
27	7391	256587
28	7668	256770
29	7928	256353
30	8190	256026
31	8421	254751
32	8673	254168
33	8945	254153
34	9187	253312
35	9416	252144
36	9673	251769
37	9933	251468
38	10164	250452
39	10410	249855
40	10648	249072
41	10888	248369
42	11130	247726
43	11441	248582
44	11692	248132
45	12062	250159
46	12367	250776
47	12638	250661
48	12992	252166
49	13345	253556
50	13703	254986
51	14004	255304
52	14306	255627
53	14596	255709
54	14937	256651
55	15284	257658
56	15624	258484
57	15967	259341
58	16335	260537
59	16725	262030
60	17009	261841
61	17295	261656
62	17595	261691
63	17951	262547
64	18297	263204
65	18625	263578
66	18970	264165
67	19268	264089
68	19544	263708
69	19784	262852
70	20050	262352
71	20356	262369
72	20627	261946
73	20966	262359
74	21236	261919
75	21527	261731
76	21892	262420
77	22188	262281
78	22427	261461
79	22670	260715
80	22915	259997
81	23150	259177
82	23388	258400
83	23627	257647
84	23871	256966
85	24107	256209
86	24346	255500
87	24581	254754
88	24831	254171
89	25067	253459
90	25357	253295
91	25682	253475
92	26085	254399
93	26398	254432
94	26678	254148
95	27034	254571
96	27402	255099
97	27670	254685
98	27966	254522
99	28274	254467
100	28662	255125
101	29005	255360
102	29372	255799
103	29837	257064
104	30270	258022
105	30760	259433
106	31148	259956
107	31538	260483
108	31973	261357
109	32326	261548
110	32621	261263
111	32897	260833
112	33179	260447
113	33460	260054
114	33764	259837
115	34053	259511
116	34369	259388
117	34753	259768
118	35100	259858
119	35454	260000
120	35749	259701
121	36010	259154
122	36292	258765
123	36594	258523
124	36871	258097
125	37172	257845
126	37452	257448
127	37729	257031
128	38063	257001
129	38379	256849
130	38679	256585
131	38938	256049
132	39184	255435
133	39433	254846
134	39681	254253
135	40005	254149
136	40268	253662
137	40539	253223
138	40801	252736
139	41058	252216
140	41321	251740
141	41583	251259
142	41855	250839
143	42111	250330
144	42363	249800
145	42621	249308
146	42933	249129
147	43332	249456
148	43658	249350
149	43953	249067
150	44210	248575
151	44471	248106
152	44737	247665
153	44995	247182
154	45250	246690
155	45508	246211
156	45754	245673
157	45991	245095
158	46230	244526
159	46485	244050
160	46754	243644
161	47005	243152
162	47248	242619
163	47493	242102
164	47735	241570
165	47978	241046
166	48218	240516
167	48466	240025
168	48709	239512
169	48951	239000
170	49199	238514
171	49440	238004
172	49815	238136
173	50150	238072
174	50414	237668
175	50662	237191
176	50913	236733
177	51165	236281
178	51416	235828
179	51669	235381
180	51927	234965
181	52181	234531
182	52436	234099
183	52695	233693
184	52961	233316
185	53217	232899
186	53471	232470
187	53726	232053
188	53981	231635
189	54243	231250
190	54506	230867
191	54775	230515
192	55039	230139
193	55289	229708
194	55540	229282
195	55784	228830
196	56029	228382
197	56271	227928
198	56510	227461
199	56758	227032
200	57002	226593
201	57245	226150
202	57487	225701
203	57734	225278
204	58079	225233
205	58359	224939
206	58624	224587
207	58870	224161
208	59113	223725
209	59356	223294
210	59598	222858
211	59837	222414
212	60075	221969
213	60319	221546
214	60559	221111
215	60798	220675
216	61052	220293
217	61308	219921
218	61566	219560
219	61821	219186
220	62076	218812
221	62341	218477
222	62599	218117
223	62865	217784
224	63251	217864
225	63545	217627
226	63829	217356
227	64210	217414
228	64494	217140
229	64754	216785
230	65019	216451
231	65269	216063
232	65521	215687
233	65784	215346
234	66032	214956
235	66275	214552
236	66516	214145
237	66777	213801
238	67038	213456
239	67280	213055
240	67521	212651
241	67767	212263
242	68009	211863
243	68257	211484
244	68504	211106
245	68750	210723
246	68994	210335
247	69236	209944
248	69482	209562
249	69721	209163
250	70004	208897
251	70281	208613
252	70518	208209
253	70756	207812
254	70999	207429
255	71253	207080
256	71510	206739
257	71770	206410
258	72037	206099
259	72293	205759
260	72547	205412
261	72817	205112
262	73111	204879
263	73417	204678
264	73675	204345
265	73960	204085
266	74217	203751
267	74482	203436
268	74749	203130
269	75017	202825
270	75271	202483
271	75527	202147
272	75796	201846
273	76054	201517
274	76308	201177
275	76552	200810
276	76798	200451
277	77043	200091
278	77289	199734
279	77530	199363
280	77772	198997
281	78015	198635
282	78348	198500
283	78589	198133
284	78830	197767
285	79072	197404
286	79315	197045
287	79557	196684
